,age,time_since_last_disturbance,last_disturbance_type,identifier,timestep,area,Species
6188,25,2,2,20,146,3.637978807091713e-12,CF
6189,24,4,2,21,146,3.637978807091713e-12,CF
6190,26,2,2,22,146,7.275957614183426e-12,CF
6191,25,2,2,23,146,7.275957614183426e-12,CF
6192,26,2,2,24,146,1.4551915228366852e-11,CF
6193,25,1,2,25,146,3.637978807091713e-12,CF
6194,26,2,2,26,146,1.8189894035458565e-11,CF
6195,24,4,2,27,146,3.637978807091713e-12,CF
6196,26,2,2,28,146,4.552358490173006e-12,CF
6197,25,1,2,29,146,305.99999999997453,CF
6198,26,2,2,30,146,305.999999999989,CF
6199,26,2,2,31,146,3.2741809263825417e-11,CF
6200,25,1,2,32,146,305.9999999999818,CF
6201,26,2,2,33,146,4.409361764601273e-12,CF
6202,26,2,2,34,146,305.9999999999927,CF
6203,26,2,2,35,146,3.974820472762943e-12,CF
6204,25,1,2,36,146,9.822542779147625e-11,CF
6205,25,1,2,37,146,3.637978807091713e-12,CF
6206,25,1,2,38,146,305.9999999999953,CF
6207,26,2,2,39,146,3.635092227227601e-12,CF
6208,25,1,2,40,146,3.637978807091713e-12,CF
6209,26,2,2,41,146,305.9999999999966,CF
6210,26,2,2,42,146,7.270184454455116e-12,CF
6211,25,1,2,43,146,305.9999999999893,CF
6212,26,2,2,44,146,305.9999999999709,CF
6213,26,2,2,45,146,305.99999999997453,CF
6214,25,1,2,46,146,305.9999999999827,CF
6215,26,2,2,47,146,306.0000000000002,CF
6216,26,2,2,48,146,4.722222612940658e-12,CF
6217,26,2,2,49,146,3.2274183325852877e-12,CF
6218,25,1,2,50,146,3.637978807091713e-12,CF
6219,26,2,2,51,146,3.6350922272276443e-12,CF
6220,25,1,2,52,146,305.99999999996845,CF
6221,25,1,2,53,146,305.99999999998624,CF
6222,26,2,2,54,146,305.9999999999782,CF
6223,25,1,2,55,146,305.9999999999817,CF
6224,24,4,2,56,146,305.999999999993,CF
6225,26,2,2,57,146,3.637978807091713e-12,CF
6226,25,1,2,58,146,305.99999999991167,CF
6227,26,2,2,59,146,305.9999999999345,CF
6228,25,1,2,60,146,305.9999999999673,CF
6229,26,2,2,61,146,1.8990808925422526e-11,CF
6230,25,1,2,62,146,1.1245004927218105e-11,CF
6231,26,1,2,63,146,1.4551915228366852e-11,CF
6232,26,1,2,64,146,3.637978807091712e-12,CF
6233,25,1,2,65,146,306.00000000000034,CF
6234,25,1,2,66,146,1.4166667838821399e-11,CF
6235,26,2,2,67,146,3.6350922272274282e-12,CF
6236,25,2,2,68,146,3.637978807091712e-12,CF
6237,26,2,2,69,146,3.637978807091713e-12,CF
6238,25,2,2,70,146,305.99999999989086,CF
6239,26,1,2,71,146,305.99999999997453,CF
6240,177,177,1,1,147,6752.6,MF
6241,197,197,1,2,147,26295.0,BL
6242,26,2,2,3,147,18328.000000000127,CF
6243,27,1,2,4,147,19246.000000000004,CF
6244,26,1,2,5,147,2.9103830456733704e-11,CF
6245,27,3,2,6,147,3.637978807091713e-12,CF
6246,26,1,2,7,147,3.637978807091713e-12,CF
6247,27,3,2,8,147,3.637978807091713e-12,CF
6248,26,1,2,9,147,3.637978807091713e-12,CF
6249,27,3,2,10,147,3.637978807091713e-12,CF
6250,26,1,2,11,147,1.0913936421275137e-11,CF
6251,27,2,2,12,147,3.637978807091713e-12,CF
6252,26,1,2,13,147,7.275957614183426e-12,CF
6253,27,3,2,14,147,3.637978807091713e-12,CF
6254,26,1,2,15,147,3.637978807091713e-12,CF
6255,27,3,2,16,147,1.0913936421275139e-11,CF
6256,26,1,2,17,147,1.4551915228366852e-11,CF
6257,27,1,2,18,147,3.637978807091713e-12,CF
6258,26,1,2,19,147,1.4551915228366852e-11,CF
6259,26,1,2,20,147,3.637978807091713e-12,CF
6260,25,1,2,21,147,3.637978807091713e-12,CF
6261,27,3,2,22,147,7.275957614183426e-12,CF
6262,26,1,2,23,147,7.275957614183426e-12,CF
6263,27,3,2,24,147,1.4551915228366852e-11,CF
6264,26,2,2,25,147,3.637978807091713e-12,CF
6265,27,3,2,26,147,1.8189894035458565e-11,CF
6266,25,1,2,27,147,3.637978807091713e-12,CF
6267,27,3,2,28,147,4.552358490173006e-12,CF
6268,26,2,2,29,147,305.99999999997453,CF
