,identifier,timestep,area,Species
244,15,19,306.0000000000002,CF
245,16,19,306.0000000000009,CF
246,17,19,306.0000000000009,CF
247,18,19,305.9999999999999,CF
248,19,19,305.9999999999999,CF
249,20,19,305.9999999999989,CF
250,21,19,306.0000000000003,CF
251,1,20,6752.6,MF
252,2,20,26295.0,BL
253,3,20,19246.000000000007,CF
254,4,20,19858.000000000007,CF
255,5,20,305.99999999999756,CF
256,6,20,305.9999999999967,CF
257,7,20,305.9999999999967,CF
258,8,20,305.99999999999716,CF
259,9,20,305.99999999999716,CF
260,10,20,305.9999999999996,CF
261,11,20,305.9999999999996,CF
262,12,20,306.0,CF
263,13,20,306.0,CF
264,14,20,306.0000000000002,CF
265,15,20,306.0000000000002,CF
266,16,20,306.0000000000009,CF
267,17,20,306.0000000000009,CF
268,18,20,305.9999999999999,CF
269,19,20,305.9999999999999,CF
270,20,20,305.9999999999989,CF
271,21,20,306.0000000000003,CF
272,1,21,6752.6,MF
273,2,21,26295.0,BL
274,3,21,19246.000000000007,CF
275,4,21,19858.000000000007,CF
276,5,21,305.99999999999756,CF
277,6,21,305.9999999999967,CF
278,7,21,305.9999999999967,CF
279,8,21,305.99999999999716,CF
280,9,21,305.99999999999716,CF
281,10,21,305.9999999999996,CF
282,11,21,305.9999999999996,CF
283,12,21,306.0,CF
284,13,21,306.0,CF
285,14,21,306.0000000000002,CF
286,15,21,306.0000000000002,CF
287,16,21,306.0000000000009,CF
288,17,21,306.0000000000009,CF
289,18,21,305.9999999999999,CF
290,19,21,305.9999999999999,CF
291,20,21,305.9999999999989,CF
292,21,21,306.0000000000003,CF
293,1,22,6752.6,MF
294,2,22,26295.0,BL
295,3,22,19246.000000000007,CF
296,4,22,19858.000000000007,CF
297,5,22,305.99999999999756,CF
298,6,22,305.9999999999967,CF
299,7,22,305.9999999999967,CF
300,8,22,305.99999999999716,CF
301,9,22,305.99999999999716,CF
302,10,22,305.9999999999996,CF
303,11,22,305.9999999999996,CF
304,12,22,306.0,CF
305,13,22,306.0,CF
306,14,22,306.0000000000002,CF
307,15,22,306.0000000000002,CF
308,16,22,306.0000000000009,CF
309,17,22,306.0000000000009,CF
310,18,22,305.9999999999999,CF
311,19,22,305.9999999999999,CF
312,20,22,305.9999999999989,CF
313,21,22,306.0000000000003,CF
314,1,23,6752.6,MF
315,2,23,26295.0,BL
316,3,23,19246.000000000007,CF
317,4,23,19858.000000000007,CF
318,5,23,305.99999999999756,CF
319,6,23,305.9999999999967,CF
320,7,23,305.9999999999967,CF
321,8,23,305.99999999999716,CF
322,9,23,305.99999999999716,CF
323,10,23,305.9999999999996,CF
324,11,23,305.9999999999996,CF
325,12,23,306.0,CF
326,13,23,306.0,CF
327,14,23,306.0000000000002,CF
328,15,23,306.0000000000002,CF
329,16,23,306.0000000000009,CF
330,17,23,306.0000000000009,CF
331,18,23,305.9999999999999,CF
332,19,23,305.9999999999999,CF
333,20,23,305.9999999999989,CF
334,21,23,306.0000000000003,CF
335,1,24,6752.6,MF
336,2,24,26295.0,BL
337,3,24,19246.000000000007,CF
338,4,24,19858.000000000007,CF
339,5,24,305.99999999999756,CF
340,6,24,305.9999999999967,CF
341,7,24,305.9999999999967,CF
342,8,24,305.99999999999716,CF
343,9,24,305.99999999999716,CF
344,10,24,305.9999999999996,CF
345,11,24,305.9999999999996,CF
346,12,24,306.0,CF
347,13,24,306.0,CF
348,14,24,306.0000000000002,CF
349,15,24,306.0000000000002,CF
350,16,24,306.0000000000009,CF
351,17,24,306.0000000000009,CF
352,18,24,305.9999999999999,CF
353,19,24,305.9999999999999,CF
354,20,24,305.9999999999989,CF
355,21,24,306.0000000000003,CF
356,1,25,6752.6,MF
357,2,25,26295.0,BL
358,3,25,19246.000000000007,CF
359,4,25,19858.000000000007,CF
360,5,25,305.99999999999756,CF
361,6,25,305.9999999999967,CF
362,7,25,305.9999999999967,CF
363,8,25,305.99999999999716,CF
364,9,25,305.99999999999716,CF
365,10,25,305.9999999999996,CF
366,11,25,305.9999999999996,CF
367,12,25,306.0,CF
368,13,25,306.0,CF
369,14,25,306.0000000000002,CF
370,15,25,306.0000000000002,CF
371,16,25,306.0000000000009,CF
372,17,25,306.0000000000009,CF
373,18,25,305.9999999999999,CF
374,19,25,305.9999999999999,CF
375,20,25,305.9999999999989,CF
376,21,25,306.0000000000003,CF
377,1,26,6752.6,MF
378,2,26,26295.0,BL
379,3,26,19246.000000000007,CF
380,4,26,19858.000000000007,CF
381,5,26,305.99999999999756,CF
382,6,26,305.9999999999967,CF
383,7,26,305.9999999999967,CF
384,8,26,305.99999999999716,CF
385,9,26,305.99999999999716,CF
386,10,26,305.9999999999996,CF
387,11,26,305.9999999999996,CF
388,12,26,306.0,CF
389,13,26,306.0,CF
390,14,26,306.0000000000002,CF
391,15,26,306.0000000000002,CF
392,16,26,306.0000000000009,CF
393,17,26,306.0000000000009,CF
394,18,26,305.9999999999999,CF
395,19,26,305.9999999999999,CF
396,20,26,305.9999999999989,CF
397,21,26,306.0000000000003,CF
398,1,27,6752.6,MF
399,2,27,26295.0,BL
400,3,27,19246.000000000007,CF
401,4,27,19858.000000000007,CF
402,5,27,305.99999999999756,CF
403,6,27,305.9999999999967,CF
404,7,27,305.9999999999967,CF
405,8,27,305.99999999999716,CF
406,9,27,305.99999999999716,CF
407,10,27,305.9999999999996,CF
408,11,27,305.9999999999996,CF
409,12,27,306.0,CF
410,13,27,306.0,CF
411,14,27,306.0000000000002,CF
412,15,27,306.0000000000002,CF
413,16,27,306.0000000000009,CF
414,17,27,306.0000000000009,CF
415,18,27,305.9999999999999,CF
416,19,27,305.9999999999999,CF
417,20,27,305.9999999999989,CF
418,21,27,306.0000000000003,CF
419,1,28,6752.6,MF
420,2,28,26295.0,BL
421,3,28,19246.000000000007,CF
422,4,28,19858.000000000007,CF
423,5,28,305.99999999999756,CF
424,6,28,305.9999999999967,CF
425,7,28,305.9999999999967,CF
